timestamp,value,gesture
1764099461.830628,570.0,up_down
1764099127.3472817,624.0,round
1764099402.644636,71.0,shoot
1764020243.58473,639.0,shoot
1764099502.151034,522.0,up_down
1764099382.5453286,544.0,shoot
1764020125.7276678,410.0,up_down
1764019545.982758,1011.0,round
1764020208.333017,207.0,shoot
1764019472.729827,1023.0,round
1764099371.3225253,386.0,shoot
1764020232.9836533,635.0,shoot
1764019555.5826874,456.0,round
1764020195.3577836,595.0,shoot
1764099140.9364195,760.0,round
1764019527.773419,715.0,round
1764019545.2213197,207.0,round
1764019517.290236,220.0,round
1764020139.8135743,710.0,up_down
1764099128.7784665,423.0,round
1764099107.225727,641.0,round
1764020146.305883,663.0,up_down
1764099418.6317475,420.0,shoot
1764019478.4130592,1023.0,round
1764020097.8125336,549.0,up_down
1764099494.5062847,162.0,up_down
1764099401.0660462,781.0,shoot
1764019489.2043393,527.0,round
1764099402.3206575,644.0,shoot
1764020246.2783945,491.0,shoot
1764099373.2476015,117.0,shoot
1764019514.639265,188.0,round
1764099495.3422997,0.0,up_down
1764019504.8564663,328.0,round
1764019516.0042398,1023.0,round
1764020118.745613,475.0,up_down
1764019512.1235662,280.0,round
